"A00","Cholera"
"V25.2","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in nontraffic accident"
"V25.20","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in nontraffic accident While engaged in sports activity"
"V25.21","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in nontraffic accident While engaged in leisure activity"
"V25.22","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in nontraffic accident While working for income"
"V25.23","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in nontraffic accident While engaged in other types of work"
"V25.24","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V25.28","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in nontraffic accident While engaged in other specified activities"
"V25.29","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in nontraffic accident During unspecified activity"
"V25.3","Motorcycle rider injured in collision with railway train or railway vehicle: Person injured while boarding or alighting"
"V25.30","Motorcycle rider injured in collision with railway train or railway vehicle: Person injured while boarding or alighting While engaged in sports activity"
"V25.31","Motorcycle rider injured in collision with railway train or railway vehicle: Person injured while boarding or alighting While engaged in leisure activity"
"V25.32","Motorcycle rider injured in collision with railway train or railway vehicle: Person injured while boarding or alighting While working for income"
"V25.33","Motorcycle rider injured in collision with railway train or railway vehicle: Person injured while boarding or alighting While engaged in other types of work"
"V25.34","Motorcycle rider injured in collision with railway train or railway vehicle: Person injured while boarding or alighting While resting, sleeping, eating or engaging in other vital activities"
"V25.38","Motorcycle rider injured in collision with railway train or railway vehicle: Person injured while boarding or alighting While engaged in other specified activities"
"V25.39","Motorcycle rider injured in collision with railway train or railway vehicle: Person injured while boarding or alighting During unspecified activity"
"V25.4","Motorcycle rider injured in collision with railway train or railway vehicle: Driver injured in traffic accident"
"V25.40","Motorcycle rider injured in collision with railway train or railway vehicle: Driver injured in traffic accident While engaged in sports activity"
"V25.41","Motorcycle rider injured in collision with railway train or railway vehicle: Driver injured in traffic accident While engaged in leisure activity"
"V25.42","Motorcycle rider injured in collision with railway train or railway vehicle: Driver injured in traffic accident While working for income"
"V25.43","Motorcycle rider injured in collision with railway train or railway vehicle: Driver injured in traffic accident While engaged in other types of work"
"V25.44","Motorcycle rider injured in collision with railway train or railway vehicle: Driver injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V25.48","Motorcycle rider injured in collision with railway train or railway vehicle: Driver injured in traffic accident While engaged in other specified activities"
"V25.49","Motorcycle rider injured in collision with railway train or railway vehicle: Driver injured in traffic accident During unspecified activity"
"V25.5","Motorcycle rider injured in collision with railway train or railway vehicle: Passenger injured in traffic accident"
"V25.50","Motorcycle rider injured in collision with railway train or railway vehicle: Passenger injured in traffic accident While engaged in sports activity"
"V25.51","Motorcycle rider injured in collision with railway train or railway vehicle: Passenger injured in traffic accident While engaged in leisure activity"
"V25.52","Motorcycle rider injured in collision with railway train or railway vehicle: Passenger injured in traffic accident While working for income"
"V25.53","Motorcycle rider injured in collision with railway train or railway vehicle: Passenger injured in traffic accident While engaged in other types of work"
"V25.54","Motorcycle rider injured in collision with railway train or railway vehicle: Passenger injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V25.58","Motorcycle rider injured in collision with railway train or railway vehicle: Passenger injured in traffic accident While engaged in other specified activities"
"V25.59","Motorcycle rider injured in collision with railway train or railway vehicle: Passenger injured in traffic accident During unspecified activity"
"V25.9","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in traffic accident"
"V25.90","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in traffic accident While engaged in sports activity"
"V25.91","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in traffic accident While engaged in leisure activity"
"V25.92","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in traffic accident While working for income"
"V25.93","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in traffic accident While engaged in other types of work"
"V25.94","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V25.98","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in traffic accident While engaged in other specified activities"
"V25.99","Motorcycle rider injured in collision with railway train or railway vehicle: Unspecified motorcycle rider injured in traffic accident During unspecified activity"
"V26","Motorcycle rider injured in collision with other nonmotor vehicle"
"V26.0","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident"
"V26.00","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident While engaged in sports activity"
"V26.01","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident While engaged in leisure activity"
"V26.02","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident While working for income"
"V26.03","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident While engaged in other types of work"
"V26.04","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V26.08","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident While engaged in other specified activities"
"V26.09","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident During unspecified activity"
"V26.1","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident"
"V26.10","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident While engaged in sports activity"
"V26.11","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident While engaged in leisure activity"
"V26.12","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident While working for income"
"V26.13","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident While engaged in other types of work"
"V26.14","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V26.18","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident While engaged in other specified activities"
"V26.19","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident During unspecified activity"
"V26.2","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in nontraffic accident"
"V26.20","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in nontraffic accident While engaged in sports activity"
"V26.21","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in nontraffic accident While engaged in leisure activity"
"V26.22","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in nontraffic accident While working for income"
"V26.23","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in nontraffic accident While engaged in other types of work"
"V26.24","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V26.28","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in nontraffic accident While engaged in other specified activities"
"V26.29","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in nontraffic accident During unspecified activity"
"V26.3","Motorcycle rider injured in collision with other nonmotor vehicle: Person injured while boarding or alighting"
"V26.30","Motorcycle rider injured in collision with other nonmotor vehicle: Person injured while boarding or alighting While engaged in sports activity"
"V26.31","Motorcycle rider injured in collision with other nonmotor vehicle: Person injured while boarding or alighting While engaged in leisure activity"
"V26.32","Motorcycle rider injured in collision with other nonmotor vehicle: Person injured while boarding or alighting While working for income"
"V26.33","Motorcycle rider injured in collision with other nonmotor vehicle: Person injured while boarding or alighting While engaged in other types of work"
"V26.34","Motorcycle rider injured in collision with other nonmotor vehicle: Person injured while boarding or alighting While resting, sleeping, eating or engaging in other vital activities"
"V26.38","Motorcycle rider injured in collision with other nonmotor vehicle: Person injured while boarding or alighting While engaged in other specified activities"
"V26.39","Motorcycle rider injured in collision with other nonmotor vehicle: Person injured while boarding or alighting During unspecified activity"
"V26.4","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in traffic accident"
"V26.40","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in traffic accident While engaged in sports activity"
"V26.41","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in traffic accident While engaged in leisure activity"
"V26.42","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in traffic accident While working for income"
"V26.43","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in traffic accident While engaged in other types of work"
"V26.44","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V26.48","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in traffic accident While engaged in other specified activities"
"V26.49","Motorcycle rider injured in collision with other nonmotor vehicle: Driver injured in traffic accident During unspecified activity"
"V26.5","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in traffic accident"
"V26.50","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in traffic accident While engaged in sports activity"
"V26.51","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in traffic accident While engaged in leisure activity"
"V26.52","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in traffic accident While working for income"
"V26.53","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in traffic accident While engaged in other types of work"
"V26.54","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V26.58","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in traffic accident While engaged in other specified activities"
"V26.59","Motorcycle rider injured in collision with other nonmotor vehicle: Passenger injured in traffic accident During unspecified activity"
"V26.9","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in traffic accident"
"V26.90","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in traffic accident While engaged in sports activity"
"V26.91","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in traffic accident While engaged in leisure activity"
"V26.92","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in traffic accident While working for income"
"V26.93","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in traffic accident While engaged in other types of work"
"V26.94","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V26.98","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in traffic accident While engaged in other specified activities"
"V26.99","Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in traffic accident During unspecified activity"
"V27","Motorcycle rider injured in collision with fixed or stationary object"
"V27.0","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in nontraffic accident"
"V27.00","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in nontraffic accident While engaged in sports activity"
"V27.01","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in nontraffic accident While engaged in leisure activity"
"V27.02","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in nontraffic accident While working for income"
"V27.03","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in nontraffic accident While engaged in other types of work"
"V27.04","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V27.08","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in nontraffic accident While engaged in other specified activities"
"V27.09","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in nontraffic accident During unspecified activity"
"V27.1","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in nontraffic accident"
"V27.10","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in nontraffic accident While engaged in sports activity"
"V27.11","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in nontraffic accident While engaged in leisure activity"
"V27.12","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in nontraffic accident While working for income"
"V27.13","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in nontraffic accident While engaged in other types of work"
"V27.14","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V27.18","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in nontraffic accident While engaged in other specified activities"
"V27.19","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in nontraffic accident During unspecified activity"
"V27.2","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in nontraffic accident"
"V27.20","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in nontraffic accident While engaged in sports activity"
"V27.21","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in nontraffic accident While engaged in leisure activity"
"V27.22","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in nontraffic accident While working for income"
"V27.23","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in nontraffic accident While engaged in other types of work"
"V27.24","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V27.28","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in nontraffic accident While engaged in other specified activities"
"V27.29","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in nontraffic accident During unspecified activity"
"V27.3","Motorcycle rider injured in collision with fixed or stationary object: Person injured while boarding or alighting"
"V27.30","Motorcycle rider injured in collision with fixed or stationary object: Person injured while boarding or alighting While engaged in sports activity"
"V27.31","Motorcycle rider injured in collision with fixed or stationary object: Person injured while boarding or alighting While engaged in leisure activity"
"V27.32","Motorcycle rider injured in collision with fixed or stationary object: Person injured while boarding or alighting While working for income"
"V27.33","Motorcycle rider injured in collision with fixed or stationary object: Person injured while boarding or alighting While engaged in other types of work"
"V27.34","Motorcycle rider injured in collision with fixed or stationary object: Person injured while boarding or alighting While resting, sleeping, eating or engaging in other vital activities"
"V27.38","Motorcycle rider injured in collision with fixed or stationary object: Person injured while boarding or alighting While engaged in other specified activities"
"V27.39","Motorcycle rider injured in collision with fixed or stationary object: Person injured while boarding or alighting During unspecified activity"
"V27.4","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in traffic accident"
"V27.40","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in traffic accident While engaged in sports activity"
"V27.41","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in traffic accident While engaged in leisure activity"
"V27.42","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in traffic accident While working for income"
"V27.43","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in traffic accident While engaged in other types of work"
"V27.44","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V27.48","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in traffic accident While engaged in other specified activities"
"V27.49","Motorcycle rider injured in collision with fixed or stationary object: Driver injured in traffic accident During unspecified activity"
"V27.5","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in traffic accident"
"V27.50","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in traffic accident While engaged in sports activity"
"V27.51","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in traffic accident While engaged in leisure activity"
"V27.52","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in traffic accident While working for income"
"V27.53","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in traffic accident While engaged in other types of work"
"V27.54","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V27.58","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in traffic accident While engaged in other specified activities"
"V27.59","Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in traffic accident During unspecified activity"
"V27.9","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in traffic accident"
"V27.90","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in traffic accident While engaged in sports activity"
"V27.91","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in traffic accident While engaged in leisure activity"
"V27.92","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in traffic accident While working for income"
"V27.93","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in traffic accident While engaged in other types of work"
"V27.94","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V27.98","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in traffic accident While engaged in other specified activities"
"V27.99","Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in traffic accident During unspecified activity"
"V28","Motorcycle rider injured in noncollision transport accident"
"V28.0","Motorcycle rider injured in noncollision transport accident: Driver injured in nontraffic accident"
"V28.00","Motorcycle rider injured in noncollision transport accident: Driver injured in nontraffic accident While engaged in sports activity"
"V28.01","Motorcycle rider injured in noncollision transport accident: Driver injured in nontraffic accident While engaged in leisure activity"
"V28.02","Motorcycle rider injured in noncollision transport accident: Driver injured in nontraffic accident While working for income"
"V28.03","Motorcycle rider injured in noncollision transport accident: Driver injured in nontraffic accident While engaged in other types of work"
"V28.04","Motorcycle rider injured in noncollision transport accident: Driver injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V28.08","Motorcycle rider injured in noncollision transport accident: Driver injured in nontraffic accident While engaged in other specified activities"
"V28.09","Motorcycle rider injured in noncollision transport accident: Driver injured in nontraffic accident During unspecified activity"
"V28.1","Motorcycle rider injured in noncollision transport accident: Passenger injured in nontraffic accident"
"V28.10","Motorcycle rider injured in noncollision transport accident: Passenger injured in nontraffic accident While engaged in sports activity"
"V28.11","Motorcycle rider injured in noncollision transport accident: Passenger injured in nontraffic accident While engaged in leisure activity"
"V28.12","Motorcycle rider injured in noncollision transport accident: Passenger injured in nontraffic accident While working for income"
"V28.13","Motorcycle rider injured in noncollision transport accident: Passenger injured in nontraffic accident While engaged in other types of work"
"V28.14","Motorcycle rider injured in noncollision transport accident: Passenger injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V28.18","Motorcycle rider injured in noncollision transport accident: Passenger injured in nontraffic accident While engaged in other specified activities"
"V28.19","Motorcycle rider injured in noncollision transport accident: Passenger injured in nontraffic accident During unspecified activity"
"V28.2","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in nontraffic accident"
"V28.20","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in nontraffic accident While engaged in sports activity"
"V28.21","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in nontraffic accident While engaged in leisure activity"
"V28.22","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in nontraffic accident While working for income"
"V28.23","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in nontraffic accident While engaged in other types of work"
"V28.24","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V28.28","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in nontraffic accident While engaged in other specified activities"
"V28.29","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in nontraffic accident During unspecified activity"
"V28.3","Motorcycle rider injured in noncollision transport accident: Person injured while boarding or alighting"
"V28.30","Motorcycle rider injured in noncollision transport accident: Person injured while boarding or alighting While engaged in sports activity"
"V28.31","Motorcycle rider injured in noncollision transport accident: Person injured while boarding or alighting While engaged in leisure activity"
"V28.32","Motorcycle rider injured in noncollision transport accident: Person injured while boarding or alighting While working for income"
"V28.33","Motorcycle rider injured in noncollision transport accident: Person injured while boarding or alighting While engaged in other types of work"
"V28.34","Motorcycle rider injured in noncollision transport accident: Person injured while boarding or alighting While resting, sleeping, eating or engaging in other vital activities"
"V28.38","Motorcycle rider injured in noncollision transport accident: Person injured while boarding or alighting While engaged in other specified activities"
"V28.39","Motorcycle rider injured in noncollision transport accident: Person injured while boarding or alighting During unspecified activity"
"V28.4","Motorcycle rider injured in noncollision transport accident: Driver injured in traffic accident"
"V28.40","Motorcycle rider injured in noncollision transport accident: Driver injured in traffic accident While engaged in sports activity"
"V28.41","Motorcycle rider injured in noncollision transport accident: Driver injured in traffic accident While engaged in leisure activity"
"V28.42","Motorcycle rider injured in noncollision transport accident: Driver injured in traffic accident While working for income"
"V28.43","Motorcycle rider injured in noncollision transport accident: Driver injured in traffic accident While engaged in other types of work"
"V28.44","Motorcycle rider injured in noncollision transport accident: Driver injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V28.48","Motorcycle rider injured in noncollision transport accident: Driver injured in traffic accident While engaged in other specified activities"
"V28.49","Motorcycle rider injured in noncollision transport accident: Driver injured in traffic accident During unspecified activity"
"V28.5","Motorcycle rider injured in noncollision transport accident: Passenger injured in traffic accident"
"V28.50","Motorcycle rider injured in noncollision transport accident: Passenger injured in traffic accident While engaged in sports activity"
"V28.51","Motorcycle rider injured in noncollision transport accident: Passenger injured in traffic accident While engaged in leisure activity"
"V28.52","Motorcycle rider injured in noncollision transport accident: Passenger injured in traffic accident While working for income"
"V28.53","Motorcycle rider injured in noncollision transport accident: Passenger injured in traffic accident While engaged in other types of work"
"V28.54","Motorcycle rider injured in noncollision transport accident: Passenger injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V28.58","Motorcycle rider injured in noncollision transport accident: Passenger injured in traffic accident While engaged in other specified activities"
"V28.59","Motorcycle rider injured in noncollision transport accident: Passenger injured in traffic accident During unspecified activity"
"V28.9","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in traffic accident"
"V28.90","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in traffic accident While engaged in sports activity"
"V28.91","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in traffic accident While engaged in leisure activity"
"V28.92","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in traffic accident While working for income"
"V28.93","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in traffic accident While engaged in other types of work"
"V28.94","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V28.98","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in traffic accident While engaged in other specified activities"
"V28.99","Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in traffic accident During unspecified activity"
"V29","Motorcycle rider injured in other and unspecified transport accidents"
"V29.0","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V29.00","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in sports activity"
"V29.01","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in leisure activity"
"V29.02","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident While working for income"
"V29.03","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in other types of work"
"V29.04","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V29.08","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in other specified activities"
"V29.09","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident During unspecified activity"
"V29.1","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V29.10","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in sports activity"
"V29.11","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in leisure activity"
"V29.12","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident While working for income"
"V29.13","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in other types of work"
"V29.14","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V29.18","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in other specified activities"
"V29.19","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident During unspecified activity"
"V29.2","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V29.20","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in sports activity"
"V29.21","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in leisure activity"
"V29.22","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident While working for income"
"V29.23","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in other types of work"
"V29.24","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V29.28","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in other specified activities"
"V29.29","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident During unspecified activity"
"V29.3","Motorcycle rider [any] injured in unspecified nontraffic accident"
"V29.30","Motorcycle rider [any] injured in unspecified nontraffic accident While engaged in sports activity"
"V29.31","Motorcycle rider [any] injured in unspecified nontraffic accident While engaged in leisure activity"
"V29.32","Motorcycle rider [any] injured in unspecified nontraffic accident While working for income"
"V29.33","Motorcycle rider [any] injured in unspecified nontraffic accident While engaged in other types of work"
"V29.34","Motorcycle rider [any] injured in unspecified nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V29.38","Motorcycle rider [any] injured in unspecified nontraffic accident While engaged in other specified activities"
"V29.39","Motorcycle rider [any] injured in unspecified nontraffic accident During unspecified activity"
"V29.4","Driver injured in collision with other and unspecified motor vehicles in traffic accident"
"V29.40","Driver injured in collision with other and unspecified motor vehicles in traffic accident While engaged in sports activity"
"V29.41","Driver injured in collision with other and unspecified motor vehicles in traffic accident While engaged in leisure activity"
"V29.42","Driver injured in collision with other and unspecified motor vehicles in traffic accident While working for income"
"V29.43","Driver injured in collision with other and unspecified motor vehicles in traffic accident While engaged in other types of work"
"V29.44","Driver injured in collision with other and unspecified motor vehicles in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V29.48","Driver injured in collision with other and unspecified motor vehicles in traffic accident While engaged in other specified activities"
"V29.49","Driver injured in collision with other and unspecified motor vehicles in traffic accident During unspecified activity"
"V29.5","Passenger injured in collision with other and unspecified motor vehicles in traffic accident"
"V29.50","Passenger injured in collision with other and unspecified motor vehicles in traffic accident While engaged in sports activity"
"V29.51","Passenger injured in collision with other and unspecified motor vehicles in traffic accident While engaged in leisure activity"
"V29.52","Passenger injured in collision with other and unspecified motor vehicles in traffic accident While working for income"
"V29.53","Passenger injured in collision with other and unspecified motor vehicles in traffic accident While engaged in other types of work"
"V29.54","Passenger injured in collision with other and unspecified motor vehicles in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V29.58","Passenger injured in collision with other and unspecified motor vehicles in traffic accident While engaged in other specified activities"
"V29.59","Passenger injured in collision with other and unspecified motor vehicles in traffic accident During unspecified activity"
"V29.6","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident"
"V29.60","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident While engaged in sports activity"
"V29.61","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident While engaged in leisure activity"
"V29.62","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident While working for income"
"V29.63","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident While engaged in other types of work"
